,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,split
TCGA-D8-A1XY,-0.3418445921184469,0.941142922481098,0.44032892649530275,-0.6680469622308075,-1.6230514817957642,-0.0685327480927757,-3.516178866095212,-0.17533655179136196,0.25687360060718606,0.11890205207703337,test
TCGA-AR-A24W,-2.554891347885132,1.5697072744369507,-2.1512725353240967,3.988044500350952,-0.6655955910682678,-0.0029617142863571644,-0.02792031690478325,1.5641405582427979,0.1386488825082779,0.13458578288555145,train
TCGA-LL-A50Y,1.552573323249817,2.984185218811035,1.163861632347107,-1.7257285118103027,0.42786097526550293,-0.9629918336868286,1.646115779876709,0.5160775780677795,-1.1542980670928955,0.01832626946270466,train
TCGA-BH-A0BC,-3.72698974609375,1.2891379594802856,0.1748468279838562,-0.024233004078269005,0.6996409296989441,0.3064623177051544,1.8481600284576416,0.41464290022850037,0.5577747821807861,-1.069750189781189,train
TCGA-AR-A24P,0.26891395449638367,1.5069345235824585,0.8879198431968689,-0.6221629977226257,0.4422423243522644,-0.13434581458568573,1.4745795726776123,0.920673131942749,-1.7182252407073975,0.789230227470398,train
TCGA-D8-A1XO,-0.7797325253486633,2.5235514640808105,0.5156949162483215,-1.003178358078003,-0.10207017511129379,-1.4042415618896484,-0.25056901574134827,0.29751166701316833,-1.5893858671188354,1.017982006072998,train
TCGA-D8-A1XB,0.22729116654674408,1.433466561568031,-0.13524627013709103,0.21999144337288187,-1.36740237527706,-0.6696260234812748,0.03500882063115834,1.1042263367424232,0.02662423857161537,0.789610189963481,test
TCGA-A1-A0SJ,1.6930333375930786,1.605912685394287,0.6978558897972107,1.8127131462097168,1.7533586025238037,1.3121012449264526,2.633775234222412,-0.39212244749069214,0.7879830598831177,0.7760682106018066,train
TCGA-5L-AAT1,0.7892870903015137,0.9565612077713013,1.2515356540679932,-0.5013580322265625,2.5291638374328613,-1.4656622409820557,0.24297277629375458,0.5865116715431213,-0.777097225189209,-1.0184000730514526,train
TCGA-OL-A66J,1.5973984003067017,1.9358843564987183,-0.7006808519363403,2.3093819618225098,-2.5956268310546875,1.2242064476013184,-2.81598162651062,-1.1536107063293457,1.944211721420288,-1.7925795316696167,train
TCGA-LL-A6FQ,2.281497214170327,2.1691461669996115,0.7686848152670565,-1.8845938398736184,-2.5221495687703146,-0.40433221282026227,-2.10550126541334,0.01721787745912721,-0.0017519856024754237,-0.6891278707305427,test
TCGA-3C-AALK,2.0674803256988525,1.4114716053009033,-0.5659907460212708,0.26013821363449097,1.0741955041885376,-0.9288465976715088,1.0515265464782715,1.6959095001220703,0.6349979043006897,-0.26549032330513,train
TCGA-A7-A4SA,-1.609784722328186,1.2038203477859497,0.05940895155072212,1.2329678535461426,0.9516510367393494,0.5072413086891174,-1.857172966003418,-0.32366371154785156,0.49013039469718933,-0.5173308253288269,train
TCGA-GM-A2DL,1.5845175981521606,0.8036437034606934,-0.1419076919555664,0.4490209221839905,-2.6954503059387207,-1.4329793453216553,0.9455967545509338,-1.9655630588531494,-0.2918173372745514,-0.8874922394752502,train
TCGA-E9-A22B,1.6781882047653198,1.0866899490356445,1.4183028936386108,-0.0577206164598465,-2.1403791904449463,1.9474526643753052,2.3261630535125732,-1.2850013971328735,1.5949456691741943,0.7630602717399597,train
TCGA-AR-A24S,-0.9132792353630066,0.4848730266094208,1.1864897012710571,-0.04391144961118698,-0.4043075144290924,-1.5626167058944702,-3.9228906631469727,-1.476786494255066,-0.7390496730804443,0.777741014957428,train
TCGA-D8-A1X6,0.31883740425109863,2.6086366176605225,2.156614065170288,-3.4240705966949463,-3.303086280822754,1.0565396547317505,-4.839602947235107,-1.6701387166976929,0.04331975802779198,0.055759381502866745,train
TCGA-AO-A0JM,3.52681303024292,0.757757306098938,-3.334650754928589,-1.9986250400543213,-0.9324948191642761,-0.9674967527389526,0.6676444411277771,-0.946772038936615,0.10901667922735214,-0.6107693314552307,train
TCGA-E9-A249,0.0013249046169221401,2.1888279914855957,0.35509562492370605,-2.7054996490478516,-2.100144147872925,-0.6008425354957581,0.31164735555648804,-0.376446932554245,-2.760517120361328,1.006294846534729,train
TCGA-BH-A0C0,-3.0696771144866943,-0.2739170789718628,1.1023399829864502,-2.0092761516571045,3.4401917457580566,-1.1864839792251587,1.8485926389694214,-0.31598934531211853,0.8105209469795227,-0.5754361748695374,train
TCGA-A2-A0YG,3.526148796081543,-0.3981393873691559,1.7824076414108276,-1.7488348484039307,-0.3745088577270508,-2.1139957904815674,1.0055794715881348,0.38259491324424744,2.0070693492889404,0.9249418377876282,train
TCGA-AR-A24Z,2.357835531234741,1.5412943363189697,2.2854959964752197,-2.003387212753296,-2.3973066806793213,-0.10629475116729736,-4.408456802368164,-0.659492015838623,0.7098016738891602,0.03249470517039299,train
TCGA-AR-A24R,1.268774725461492,1.2720174277185796,0.715719393702734,-0.7052867748535733,0.48244937939746496,0.6978847140483672,-0.3680443853761381,-0.9787984554791413,0.04767731583034381,-0.11911846581672579,test
TCGA-EW-A1OZ,3.963127613067627,-0.12006986141204834,-0.20159903168678284,-1.7736570835113525,-0.7764814496040344,-1.3120824098587036,0.7294813394546509,-1.1098307371139526,1.2087602615356445,0.5667431950569153,train
TCGA-A2-A1FW,3.577604293823242,1.2949711084365845,1.0829565525054932,0.14878448843955994,1.165712594985962,1.4893449544906616,-0.9873291850090027,-1.0212538242340088,1.6326709985733032,1.7907649278640747,train
TCGA-D8-A1Y3,3.2524263858795166,-0.8371866345405579,2.0718207359313965,-3.5846259593963623,-0.6313954591751099,0.20464079082012177,1.4049526453018188,-1.5912948846817017,0.21894696354866028,-0.2918815314769745,train
TCGA-C8-A8HQ,2.8153624534606934,0.30415359139442444,2.239694356918335,-1.280084490776062,1.8884823322296143,0.12306477874517441,0.3324440121650696,0.21422427892684937,1.3084652423858643,-0.9383181929588318,train
TCGA-A2-A1G4,2.3823699951171875,2.4550411701202393,1.1262249946594238,-1.3710535764694214,1.9455443620681763,2.114818572998047,2.30586838722229,-0.5562822818756104,0.4722878336906433,1.167532205581665,train
TCGA-AO-A1KT,1.652994142977316,0.7580791094263918,1.0038179905850237,-1.2767860187473,-1.1950549153014638,0.3435513575783689,-0.9639072916373483,-0.8489262865178083,-0.4810103096247292,-0.011935831183248443,test
